Model,Actual_PM2.5,Predicted_PM2.5,RMSE,MAE,R²
Gradient Boosting,8.695,9.954596931,17.749,3.298,0.872
Gradient Boosting,7.03,12.01512907,,,
Gradient Boosting,4.5,4.594176884,,,
Gradient Boosting,37.74,39.92601339,,,
Gradient Boosting,42.365,43.53437404,,,
Gradient Boosting,52.725,46.58190162,,,
Gradient Boosting,42.5,35.54697895,,,
Gradient Boosting,14.615,14.05422426,,,
Gradient Boosting,10.36,11.29840003,,,
Gradient Boosting,16.095,14.26284034,,,
Gradient Boosting,25.4,29.38944559,,,
Gradient Boosting,1.9,1.760912283,,,
Gradient Boosting,1.665,5.08279318,,,
Gradient Boosting,67.34,69.15866929,,,
Gradient Boosting,20.165,21.52543684,,,
Gradient Boosting,69.745,66.72711159,,,
Gradient Boosting,27.38,26.05200012,,,
Gradient Boosting,3.3,1.37397616,,,
Gradient Boosting,14.615,18.30507808,,,
Gradient Boosting,10.73,14.28616434,,,
Gradient Boosting,16.465,14.27677607,,,
Gradient Boosting,8.6,10.17025774,,,
Gradient Boosting,15.54,13.56902311,,,
Gradient Boosting,0.5,0.4637555999,,,
Gradient Boosting,0.8,0.6213798043,,,
Gradient Boosting,55.87,58.7243096,,,
Gradient Boosting,10.7,16.85820569,,,
Gradient Boosting,4.4,3.603093885,,,
Gradient Boosting,38.1,38.93863366,,,
Gradient Boosting,70.485,64.42990449,,,
Gradient Boosting,26.2,24.54235321,,,
Gradient Boosting,5.2,5.289250938,,,
Gradient Boosting,9.435,10.1276223,,,
Gradient Boosting,76.035,76.41193657,,,
Gradient Boosting,2.5,2.032259926,,,
Gradient Boosting,0.5,1.445553334,,,
Gradient Boosting,17.02,17.10867069,,,
Gradient Boosting,12.7,12.4370246,,,
Gradient Boosting,15.54,20.50754081,,,
Gradient Boosting,1.9,1.939138613,,,
Gradient Boosting,6.845,6.646797279,,,
Gradient Boosting,0.5,1.170581858,,,
Gradient Boosting,10.7,10.72179897,,,
Gradient Boosting,5.4,6.485346707,,,
Gradient Boosting,11.391,12.24504572,,,
Gradient Boosting,58.645,59.42033139,,,
Gradient Boosting,0.8,1.490495411,,,
Gradient Boosting,45.325,47.0523194,,,
Gradient Boosting,5.92,6.483241895,,,
Gradient Boosting,3.9,6.191293765,,,
Gradient Boosting,67.56,59.24595269,,,
Gradient Boosting,18.315,18.06680277,,,
Gradient Boosting,2.96,3.130399835,,,
Gradient Boosting,14.615,15.43938872,,,
Gradient Boosting,11.2,11.28206052,,,
Gradient Boosting,37,35.81843277,,,
Gradient Boosting,94.905,84.31938728,,,
Gradient Boosting,5.2,6.747965544,,,
Gradient Boosting,3.5,2.838679755,,,
Gradient Boosting,35.89,37.86528626,,,
Gradient Boosting,0.9,0.8645625501,,,
Gradient Boosting,17.39,18.01031761,,,
Gradient Boosting,0.5,-28.4417086,,,
Gradient Boosting,29.23,33.93821617,,,
Gradient Boosting,52.355,55.1653304,,,
Gradient Boosting,83.435,86.65630544,,,
Gradient Boosting,3.7,1.765395758,,,
Gradient Boosting,7.3,7.02126308,,,
Gradient Boosting,2.5,2.449690385,,,
Gradient Boosting,62.715,69.24557311,,,
Gradient Boosting,1.3,2.740180345,,,
Gradient Boosting,3.6,3.24998525,,,
Gradient Boosting,22.385,32.0365634,,,
Gradient Boosting,1.2,0.6773094962,,,
Gradient Boosting,53.65,68.46367394,,,
Gradient Boosting,62.9,54.43582806,,,
Gradient Boosting,13.4,15.31176062,,,
Gradient Boosting,88.985,73.40469864,,,
Gradient Boosting,3.33,4.400728147,,,
Gradient Boosting,4.2,3.8884313,,,
Gradient Boosting,10.545,7.232941461,,,
Gradient Boosting,0.5,0.9560096746,,,
Gradient Boosting,1.11,63.17674126,,,
Gradient Boosting,31.7,29.8819891,,,
Gradient Boosting,24.8,21.40461858,,,
Gradient Boosting,6,5.364243798,,,
Gradient Boosting,16.28,13.84369312,,,
Gradient Boosting,22.755,25.72461296,,,
Gradient Boosting,37.555,38.39079253,,,
Gradient Boosting,1.5,1.851287718,,,
Gradient Boosting,0.5,-1.785160048,,,
Gradient Boosting,46.25,43.01625736,,,
Gradient Boosting,8.695,8.433325498,,,
